Penalty Coef (λ),Params (M),GFLOPs,Latency (ms),Peak Mem (MB)
0.0,0.0,0.0,23.15,0.07
0.1,0.0,0.0,22.66,0.06
0.5,0.0,0.0,21.85,0.07
2.0,0.0,0.0,24.36,0.06
5.0,0.0,0.0,25.8,0.06
