Variant,Latency (ms),Peak Memory (MB),Top-1 Acc (%)
C-DGOSA (Full),29.44,0.06,34.35
C-DGOSA w/o Split,23.43,0.16,9.64
C-DGOSA w/o Constraint,25.53,0.06,10.05
C-DGOSA-Greedy,33.85,0.07,34.35
