Penalty Coef (λ),Params (M),GFLOPs,Latency (ms),Peak Mem (MB)
0.0,13.5,13.83,22.77,162.03
0.1,9.45,9.68,21.12,113.42
0.5,8.57,8.77,22.15,102.82
2.0,13.2,13.51,25.87,158.34
5.0,10.53,10.78,21.88,126.31
