Penalty Coef (λ),Params (M),GFLOPs,Latency (ms),Peak Mem (MB)
0.0,0.46,0.47,6.89,5.51
0.1,0.69,0.71,6.72,8.31
0.5,0.82,0.84,6.72,9.86
2.0,1.18,1.2,6.86,14.11
5.0,1.04,1.07,6.74,12.49
