Penalty Coef (λ),Params (M),GFLOPs,Latency (ms),Peak Mem (MB)
0.0,0.73,0.75,6.78,8.78
0.1,0.48,0.49,6.71,5.75
0.5,0.52,0.53,6.35,6.19
2.0,0.37,0.37,6.55,4.39
5.0,0.75,0.77,6.67,8.99
