Penalty Coef (λ),Params (M),GFLOPs,Latency (ms),Peak Mem (MB)
0.0,0.43,0.44,20.19,5.21
0.1,0.56,0.57,20.08,6.73
0.5,0.44,0.45,20.29,5.28
2.0,0.6,0.61,19.07,7.17
5.0,0.27,0.28,21.99,3.28
