Variant,Latency (ms),Peak Memory (MB),Top-1 Acc (%)
C-DGOSA (Full),20.23,9.62,86.87
C-DGOSA w/o Split,20.76,82.75,89.76
C-DGOSA w/o Constraint,20.77,7.35,86.32
C-DGOSA-Greedy,23.26,10.59,86.37
