Variant,Latency (ms),Peak Memory (MB),Top-1 Acc (%)
C-DGOSA (Full),20.75,159.96,85.11
C-DGOSA w/o Split,23.67,895.11,80.73
C-DGOSA w/o Constraint,21.97,121.21,80.97
C-DGOSA-Greedy,23.87,175.95,84.61
