Penalty Coef (λ),Params (M),GFLOPs,Latency (ms),Peak Mem (MB)
0.0,0.55,0.56,17.95,6.57
0.1,0.48,0.5,12.88,5.81
0.5,0.7,0.72,12.79,8.43
2.0,0.72,0.74,13.48,8.67
5.0,0.45,0.46,14.69,5.34
